731,969,908
216,757,621
70,37,292
256,598,891
866,113,401
507,786,424
671,298,527
321,196,461
463,293,321
72,734,762
248,417,646
753,699,375
973,555,805
37,405,855
742,701,68
801,103,773
739,786,842
652,451,352
139,298,477
868,432,166
622,783,448
157,370,546
59,552,568
392,757,465
440,767,767
745,260,541
422,520,891
733,928,270
996,816,417
112,14,336
243,525,101
283,351,986
316,464,59
942,187,115
301,65,167
670,551,953
994,219,429
893,601,331
644,266,284
817,56,92
817,313,941
385,636,405
136,406,716
521,823,516
888,421,830
323,655,620
456,421,832
798,652,193
372,697,300
928,835,447
942,838,504
73,541,449
233,877,70
365,278,462
800,351,354
875,38,821
343,48,792
972,124,48
760,389,376
266,25,872
185,906,355
547,589,519
526,264,817
518,739,337
364,596,147
175,242,904
898,337,976
793,669,885
143,570,359
750,839,604
905,28,771
271,330,591
245,71,131
140,646,838
536,876,962
283,791,489
449,670,66
532,736,592
859,585,679
386,480,171
71,864,196
31,889,259
609,909,704
156,483,332
726,830,435
187,618,563
108,968,536
940,621,625
876,43,188
324,353,618
52,650,934
490,706,782
70,136,283
575,616,178
716,719,487
323,805,489
730,466,746
243,758,896
833,185,451
282,549,72
817,56,92
456,421,832
143,570,359
386,480,171
750,839,604
156,483,332
928,835,447
365,278,462
245,71,131
731,969,908
386,480,171
875,38,821
316,464,59
521,823,516
216,757,621
507,786,424
243,525,101
157,370,546
139,298,477
905,28,771
801,103,773
185,906,355
70,136,283
139,298,477
536,876,962
996,816,417
859,585,679
833,185,451
52,650,934
248,417,646
575,616,178
463,293,321
456,421,832
385,636,405
216,757,621
817,313,941
449,670,66
742,701,68
942,187,115
730,466,746
385,636,405
392,757,465
233,877,70
652,451,352
942,838,504
185,906,355
449,670,66
364,596,147
157,370,546
731,969,908
452,769,891
132,530,819
960,375,844
319,703,261
557,726,670
633,544,436
787,859,761
143,774,443
695,214,132
833,309,552
975,706,366
760,20,356
553,908,758
944,20,899
513,178,856
132,281,313
957,30,893
881,104,441
580,888,71
854,900,609
695,948,704
119,21,224
611,673,70
598,337,756
29,602,404
603,881,340
285,641,142
210,521,936
798,994,386
547,311,447
275,879,335
67,218,965
152,569,227
851,170,859
135,691,810
502,799,941
246,390,590
982,507,237
552,667,949
341,243,828
532,151,87
812,484,780
700,41,497
287,322,836
114,429,755
693,596,330
969,249,698
19,700,863
972,895,321
748,600,666
182,461,920
954,786,683
210,173,619
573,543,954
25,171,977
687,983,416
25,352,18
64,641,468
689,740,232
794,229,886
919,704,450
209,741,473
746,595,302
567,303,72
512,775,25
996,851,345
550,128,385
396,40,56
614,589,768
521,200,520
170,252,249
720,135,534
779,253,615
792,975,827
260,719,214
931,908,379
509,459,986
514,459,605
701,446,617
871,447,230
495,683,436
335,172,194
808,418,19
973,910,121
865,997,498
724,964,771
535,725,108
245,732,198
237,910,116
372,994,243
829,933,886
830,529,683
923,588,525
44,279,600
751,310,722
986,480,287
618,847,224
805,677,503
856,663,732
929,247,415
209,741,473
573,543,954
287,322,836
550,128,385
687,983,416
25,352,18
567,303,72
598,337,756
854,900,609
553,908,758
693,596,330
871,447,230
396,40,56
957,30,893
557,726,670
929,247,415
854,900,609
787,859,761
396,40,56
25,352,18
509,459,986
829,933,886
573,543,954
830,529,683
372,994,243
689,740,232
335,172,194
973,910,121
748,600,666
535,725,108
854,900,609
245,732,198
829,933,886
996,851,345
856,663,732
854,900,609
535,725,108
611,673,70
957,30,893
182,461,920
687,983,416
547,311,447
598,337,756
854,900,609
603,881,340
580,888,71
829,933,886
779,253,615
695,948,704
535,725,108
